codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,-0.040351,-0.036346,-0.038238
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,0.065525,-0.074061,-0.007773
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,0.020756,0.053350,0.041006
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,-0.016164,0.083130,-0.045026
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,0.049775,-0.034433,-0.022060
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,-0.004191,0.047498,0.006222
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,-0.044161,0.051087,0.005019
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,-0.021814,-0.022868,0.046690
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,0.006259,-0.058372,0.034740
PIDR,-11.868,-77.075,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,54.2,2021/11/28 06:32:34  UTC,5001,100muestras/segundo,cm/s2,38.1384,61.2293,55.9104,0.059861,-0.013299,-0.027206
