codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,-0.000563,0.001266,0.000243
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,-0.001687,0.000432,-0.003990
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,0.003282,-0.003945,0.001884
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,-0.000547,-0.000720,0.011420
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,-0.002940,0.002295,-0.000183
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,-0.001984,-0.000162,-0.003159
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,0.000211,-0.001712,-0.004839
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,0.005000,0.000095,-0.003387
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,-0.001238,0.001080,0.002867
PISC,-13.711,-76.207,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,235.7,2021/11/28 06:32:52  UTC,12001,100muestras/segundo,cm/s2,0.8629,2.5185,2.2801,-0.004236,0.000048,0.005918
