codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,-0.000069,0.000790,-0.001279
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,-0.002016,0.000019,-0.000363
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,-0.000985,-0.001667,0.000644
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,0.002459,-0.001017,-0.000214
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,0.001921,0.000032,0.000472
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,0.001152,-0.000052,0.000281
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,-0.001322,0.002077,0.001743
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,-0.001575,0.000910,0.000862
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,0.000536,-0.000838,0.000594
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,0.000684,0.000086,0.001077
UDEP,-5.170,-80.639,2021/12/06,01:30:50,-2.8,-77.31,40,M5.2,454.2,2021/12/06 06:31:35  UTC,22001,100muestras/segundo,cm/s2,0.1037,0.1207,0.1341,-0.000232,-0.000972,-0.001517
